tech,unit,capacity_max
Nam_Ou_7,MW,210.0
Nam_Ngay,MW,1.2
Nam_Ou_6,MW,180.0
Nam_Ou_5,MW,240.0
Nam_Pok,MW,2.6
Nam_Ou_4,MW,132.0
Nam_Pha,MW,180.0
Nam_Ko,MW,1.5
Nam_Ou_2,MW,120.0
Nam_Tha_1,MW,168.0
Nam_Ou_1,MW,180.0
Nam_Beng,MW,36.0
Nam_Khan_3_(Down),MW,60.0
Nam_Khan_2,MW,130.0
Mekong_at_Xayabuly,MW,1260.0
Nam_Ngum_3,MW,480.0
Nam_Pouy_1,MW,60.0
Nam_Ngum_2,MW,615.0
Nam_Ngiep_1,MW,272.0
Nam_Lik_1-2,MW,100.0
Nam_Ngum_1,MW,155.0
Nam_Lik_1,MW,64.0
Nam_Ngiep-regulating_dam,MW,18.0
Nam_Poun,MW,50.0
Nam_Theun1,MW,600.0
Theun-Hinboun_exp._(NG8),MW,60.0
Theun-Hinboun,MW,220.0
Ubol_Ratana,MW,25.2
Huai_Kum,MW,1.18
Xe_Kong_5,MW,330.0
Xeset_1,MW,45.0
Xedon_2,MW,20.0
Xelabam,MW,5.0
Xekaman_3,MW,250.0
Pak_Mun,MW,136.0
Xe_Kaman_2B,MW,100.0
Xekaman-Sanxay,MW,32.0
Xe_Nam_Noy_5,MW,20.0
Xe_Kaman_2A,MW,64.0
Xekatam,MW,68.0
Xekaman_1,MW,290.0
Lam_Ta_Khong_P.S.,MW,500.0
Nam_Kong_1,MW,150.0
Nam_Kong_2,MW,66.0
Plei_Krong,MW,100.0
Yali,MW,720.0
Se_San_3,MW,260.0
Se_San_3A,MW,96.0
Se_San_4,MW,360.0
Se_San_4A,MW,63.0
Mekong_at_Don_sahong,MW,260.0
Lower_Se_San_2,MW,400.0
Sre_Pok_4,MW,80.0
Sre_Pok_3,MW,220.0
Dray_Hlinh_2,MW,16.0
Buon_Kuop,MW,280.0
Buon_Tua_Srah,MW,86.0
